Year,Cumulative ice mass change (Gt),Cumulative ice mass change uncertainty (Gt),Cumulative sea level contribution (mm),Cumulative sea level contribution uncertainty (mm)
2004.42,-611.64,163.26,1.70,0.45
2004.50,-616.03,164.14,1.71,0.46
2004.58,-620.20,164.96,1.72,0.46
2004.67,-624.86,165.84,1.74,0.46
2004.75,-630.79,166.69,1.75,0.46
2004.83,-637.63,167.45,1.77,0.47
2004.92,-645.35,168.19,1.79,0.47
2005.00,-652.48,168.91,1.81,0.47
2005.08,-658.63,169.67,1.83,0.47
2005.17,-663.68,170.43,1.84,0.47
2005.25,-666.94,171.24,1.85,0.48
2005.33,-668.49,172.17,1.86,0.48
2005.42,-667.82,173.07,1.86,0.48
2005.50,-665.90,173.84,1.85,0.48
2005.58,-662.83,174.55,1.84,0.48
2005.67,-659.65,175.31,1.83,0.49
2005.75,-657.50,176.13,1.83,0.49
2005.83,-657.08,177.01,1.83,0.49
2005.92,-658.28,177.90,1.83,0.49
2006.00,-660.86,178.75,1.84,0.50
2006.08,-664.22,179.56,1.85,0.50
2006.17,-669.02,180.26,1.86,0.50
2006.25,-675.02,180.91,1.88,0.50
2006.33,-682.00,181.53,1.89,0.50
2006.42,-689.71,182.10,1.92,0.51
2006.50,-697.60,182.64,1.94,0.51
2006.58,-706.08,183.21,1.96,0.51
2006.67,-715.46,183.84,1.99,0.51
2006.75,-725.54,184.48,2.02,0.51
2006.83,-735.68,185.12,2.04,0.51
2006.92,-745.61,185.75,2.07,0.52
2007.00,-755.11,186.46,2.10,0.52
2007.08,-764.18,187.23,2.12,0.52
2007.17,-772.53,188.01,2.15,0.52
2007.25,-779.20,188.77,2.16,0.52
2007.33,-785.15,189.46,2.18,0.53
2007.42,-791.00,190.13,2.20,0.53
2007.50,-796.61,190.82,2.21,0.53
2007.58,-802.81,191.59,2.23,0.53
2007.67,-810.04,192.43,2.25,0.53
2007.75,-818.98,193.22,2.27,0.54
2007.83,-829.20,193.85,2.30,0.54
2007.92,-840.34,194.41,2.33,0.54
2008.00,-851.22,194.98,2.36,0.54
2008.08,-861.81,195.55,2.39,0.54
2008.17,-871.64,196.13,2.42,0.54
2008.25,-880.04,196.74,2.44,0.55
2008.33,-886.83,197.37,2.46,0.55
2008.42,-892.54,197.97,2.48,0.55
2008.50,-898.50,198.56,2.50,0.55
2008.58,-905.63,199.18,2.52,0.55
2008.67,-913.88,199.86,2.54,0.56
2008.75,-923.23,200.56,2.56,0.56
2008.83,-933.13,201.27,2.59,0.56
2008.92,-944.26,201.95,2.62,0.56
2009.00,-956.60,202.64,2.66,0.56
2009.08,-970.78,203.31,2.70,0.56
2009.17,-987.29,203.84,2.74,0.57
2009.25,-1005.28,204.31,2.79,0.57
2009.33,-1023.38,204.78,2.84,0.57
2009.42,-1040.00,205.22,2.89,0.57
2009.50,-1055.89,205.66,2.93,0.57
2009.58,-1071.68,206.12,2.98,0.57
2009.67,-1087.30,206.59,3.02,0.57
2009.75,-1102.61,207.07,3.06,0.58
2009.83,-1117.92,207.55,3.11,0.58
2009.92,-1133.74,208.05,3.15,0.58
2010.00,-1148.96,208.58,3.19,0.58
2010.08,-1164.09,209.14,3.23,0.58
2010.17,-1179.39,209.69,3.28,0.58
2010.25,-1193.98,210.26,3.32,0.58
2010.33,-1207.37,210.90,3.35,0.59
2010.42,-1219.47,211.54,3.39,0.59
2010.50,-1232.71,212.16,3.42,0.59
2010.58,-1246.66,212.80,3.46,0.59
2010.67,-1262.22,213.49,3.51,0.59
2010.75,-1278.86,214.26,3.55,0.60
2010.83,-1297.40,215.08,3.60,0.60
2010.92,-1316.64,215.89,3.66,0.60
2011.00,-1336.04,216.66,3.71,0.60
2011.08,-1355.04,217.39,3.76,0.60
2011.17,-1373.68,218.09,3.82,0.61
2011.25,-1391.37,218.85,3.86,0.61
2011.33,-1407.94,219.67,3.91,0.61
2011.42,-1422.35,220.58,3.95,0.61
2011.50,-1434.98,221.40,3.99,0.62
2011.58,-1446.70,222.10,4.02,0.62
2011.67,-1457.65,222.78,4.05,0.62
2011.75,-1467.88,223.55,4.08,0.62
2011.83,-1478.62,224.34,4.11,0.62
2011.92,-1488.53,225.14,4.13,0.63
2012.00,-1499.31,225.91,4.16,0.63
2012.08,-1510.41,226.66,4.20,0.63
2012.17,-1523.43,227.34,4.23,0.63
2012.25,-1537.08,228.01,4.27,0.63
2012.33,-1550.06,228.70,4.31,0.64
2012.42,-1562.13,229.32,4.34,0.64
2012.50,-1573.84,229.89,4.37,0.64
2012.58,-1586.83,230.49,4.41,0.64
2012.67,-1599.78,231.18,4.44,0.64
2012.75,-1612.57,231.86,4.48,0.64
2012.83,-1626.55,232.51,4.52,0.65
2012.92,-1640.98,233.16,4.56,0.65
2013.00,-1656.64,233.79,4.60,0.65
2013.08,-1671.66,234.45,4.64,0.65
2013.17,-1687.23,235.10,4.69,0.65
2013.25,-1702.71,235.73,4.73,0.65
2013.33,-1718.42,236.32,4.77,0.66
2013.42,-1734.48,236.89,4.82,0.66
2013.50,-1750.70,237.47,4.86,0.66
2013.58,-1768.15,238.09,4.91,0.66
2013.67,-1786.88,238.69,4.96,0.66
2013.75,-1807.69,239.20,5.02,0.66
2013.83,-1829.84,239.65,5.08,0.67
2013.92,-1850.28,240.24,5.14,0.67
2014.00,-1868.69,240.91,5.19,0.67
2014.08,-1885.64,241.64,5.24,0.67
2014.17,-1900.13,242.38,5.28,0.67
2014.25,-1912.02,243.15,5.31,0.68
2014.33,-1920.88,243.91,5.34,0.68
2014.42,-1928.04,244.61,5.36,0.68
2014.50,-1934.12,245.25,5.37,0.68
2014.58,-1940.36,245.92,5.39,0.68
2014.67,-1947.66,246.72,5.41,0.69
2014.75,-1956.49,247.57,5.43,0.69
2014.83,-1967.00,248.42,5.46,0.69
2014.92,-1977.98,249.26,5.49,0.69
2015.00,-1990.85,250.07,5.53,0.69
2015.08,-2005.84,250.82,5.57,0.70
2015.17,-2021.84,251.48,5.62,0.70
2015.25,-2039.06,252.11,5.66,0.70
2015.33,-2056.37,252.77,5.71,0.70
2015.42,-2072.01,253.48,5.76,0.70
2015.50,-2086.56,254.21,5.80,0.71
2015.58,-2100.60,254.94,5.83,0.71
2015.67,-2114.14,255.67,5.87,0.71
2015.75,-2128.19,256.38,5.91,0.71
2015.83,-2143.19,257.07,5.95,0.71
2015.92,-2158.80,257.74,6.00,0.72
2016.00,-2169.73,258.37,6.03,0.72
2016.08,-2174.04,258.68,6.04,0.72
2016.17,-2178.35,258.99,6.05,0.72
2016.25,-2183.22,259.31,6.06,0.72
2016.33,-2188.08,259.63,6.08,0.72
2016.42,-2192.95,259.95,6.09,0.72
2016.50,-2197.82,260.27,6.11,0.72
2016.58,-2209.31,260.10,6.14,0.72
2016.67,-2220.80,259.93,6.17,0.72
2016.75,-2232.29,259.76,6.20,0.72
2016.83,-2243.78,259.59,6.23,0.72
2016.92,-2255.27,259.43,6.26,0.72
2017.00,-2266.76,259.26,6.30,0.72
2017.08,-2278.25,259.10,6.33,0.72
2017.17,-2289.74,258.94,6.36,0.72
2017.25,-2301.23,258.77,6.39,0.72
2017.33,-2312.72,258.61,6.42,0.72
2017.42,-2324.22,258.46,6.46,0.72
